,crime_type,date,address
0,Burglary,2018-03-08 00:00:00,300 BLOCK OF 43RD ST
1,Burglary,2018-03-08 00:00:00,
2,Burglary,2018-03-08 00:00:00,200 BLOCK OF HUMBOLDT ST
3,Burglary,2018-03-08 00:00:00,350-398 W 49TH ST
4,Burglary,2018-03-08 00:00:00,100 BLOCK OF E BROADWAY
5,Burglary,2018-03-08 00:00:00,200 BLOCK OF HUMBOLDT ST
6,Burglary,2018-03-08 00:00:00,
7,Burglary,2018-03-08 00:00:00,
8,Burglary,2018-03-08 00:00:00,16000 BLOCK OF 21ST RD
9,Burglary,2018-03-08 00:00:00,279-299 W 22ND ST
10,Burglary,2018-03-08 00:00:00,2000 BLOCK OF MCDONALD AVE
11,Burglary,2018-03-08 00:00:00,
12,Burglary,2018-03-08 00:00:00,5100 BLOCK OF 2ND AVE
13,Burglary,2018-03-08 00:00:00,
14,Burglary,2018-03-08 00:00:00,200 BLOCK OF ELLERY ST
15,Burglary,2018-03-08 00:00:00,800 BLOCK OF CARROLL ST
16,Burglary,2018-03-08 00:00:00,
17,Burglary,2018-03-08 00:00:00,300 BLOCK OF GRAHAM AVE
18,Burglary,2018-03-08 00:00:00,
19,Burglary,2018-03-08 00:00:00,1101-1117 W FARMS RD
20,Burglary,2018-03-08 00:00:00,132-98 133 ST
21,Burglary,2018-03-08 00:00:00,
22,Burglary,2018-03-08 00:00:00,
23,Burglary,2018-03-08 00:00:00,18-65 211TH ST
24,Burglary,2018-03-08 00:00:00,75-1-75-15 YELLOWSTONE BLVD
25,Burglary,2018-03-08 00:00:00,2400 BLOCK OF E 23RD ST
26,Burglary,2018-03-07 00:00:00,00 BLOCK OF AVENUE W
27,Burglary,2018-03-07 00:00:00,360-368 MORRIS AVE
28,Burglary,2018-03-07 00:00:00,30-54 E 55TH ST
29,Burglary,2018-03-07 00:00:00,217-73-217-99 68TH AVE
30,Burglary,2018-03-07 00:00:00,
31,Burglary,2018-03-07 00:00:00,103-2-103-8 ROOSEVELT AVE
32,Burglary,2018-03-07 00:00:00,200 BLOCK OF W 102ND ST
33,Burglary,2018-03-07 00:00:00,00 BLOCK OF LOTT AVE
34,Burglary,2018-03-07 00:00:00,00 BLOCK OF 70TH AVE
35,Burglary,2018-03-07 00:00:00,00 BLOCK OF DEARBORN CT
36,Burglary,2018-03-07 00:00:00,
37,Burglary,2018-03-07 00:00:00,
38,Burglary,2018-03-07 00:00:00,49-0 108TH ST
39,Burglary,2018-03-07 00:00:00,2900 BLOCK OF FREDERICK DOUGLASS BLVD
40,Burglary,2018-03-07 00:00:00,
41,Burglary,2018-03-07 00:00:00,
42,Burglary,2018-03-07 00:00:00,
43,Burglary,2018-03-07 00:00:00,3100 BLOCK OF HEATH AVE
44,Burglary,2018-03-07 00:00:00,
45,Burglary,2018-03-07 00:00:00,11-25 IRVING AVE
46,Burglary,2018-03-07 00:00:00,
47,Burglary,2018-03-06 00:00:00,13100 BLOCK OF SANFORD AVE
48,Burglary,2018-03-06 00:00:00,1800 BLOCK OF W 9TH ST
49,Burglary,2018-03-06 00:00:00,2026-20210 42ND AVE
50,Burglary,2018-03-06 00:00:00,160-1 NY-25A
51,Burglary,2018-03-06 00:00:00,00 BLOCK OF E 32ND ST
52,Burglary,2018-03-06 00:00:00,500 BLOCK OF ROGERS AVE
53,Burglary,2018-03-06 00:00:00,
54,Burglary,2018-03-06 00:00:00,
55,Burglary,2018-03-06 00:00:00,1300 BLOCK OF NOBLE AVE
56,Burglary,2018-03-06 00:00:00,500 BLOCK OF 7TH AVE
57,Burglary,2018-03-06 00:00:00,
58,Burglary,2018-03-06 00:00:00,
59,Burglary,2018-03-06 00:00:00,
60,Burglary,2018-03-06 00:00:00,3102-3136 WESTCHESTER AVE
61,Burglary,2018-03-06 00:00:00,450-454 CHAUNCEY ST
62,Burglary,2018-03-06 00:00:00,
63,Burglary,2018-03-06 00:00:00,
64,Burglary,2018-03-06 00:00:00,
65,Burglary,2018-03-06 00:00:00,
66,Burglary,2018-03-06 00:00:00,
67,Burglary,2018-03-06 00:00:00,209-99 86TH DR
68,Burglary,2018-03-06 00:00:00,700 BLOCK OF JAMAICA AVE
69,Burglary,2018-03-06 00:00:00,500 BLOCK OF 60TH ST
70,Burglary,2018-03-06 00:00:00,300 BLOCK OF W 234TH ST
71,Burglary,2018-03-06 00:00:00,1500 BLOCK OF LELAND AVE
72,Burglary,2018-03-06 00:00:00,
73,Burglary,2018-03-06 00:00:00,
74,Burglary,2018-03-06 00:00:00,00 BLOCK OF SYLVAN CT
